TreeID,X,Y,Elevation,Height_m,CBH_m,MinCrownDia_m,MaxCrownDia_m,rotation,R,G,B,DBH_m,LeanFromVertical,LeanAzimuth,StatusCode
43_11_PSME,418853.011214422,5276610.98323558,0,26.3031959373739,15.7819175624243,4.20851134997982,4.20851134997982,0,71,183,73,0.377,0,0,0
43_12_PSME,418852.70055925,5276608.88246476,0,30.7629459191477,18.4577675514886,4.92207134706363,4.92207134706363,0,71,183,73,0.483,0,0,0
43_19_PSME,418832.880344752,5276611.44599973,0,24.5743985787867,14.744639147272,3.93190377260587,3.93190377260587,0,71,183,73,0.34,0,0,0
43_20_PSME,418835.891995156,5276613.28548825,0,25.614530130445,15.368718078267,4.0983248208712,4.0983248208712,0,71,183,73,0.362,0,0,0
43_33_PSME,418851.056839721,5276614.95075,0,28.4052450552979,17.0431470331787,4.54483920884766,4.54483920884766,0,71,183,73,0.425,0,0,0
43_37_PSME,418838.01155445,5276615.78866604,0,30.329712109597,18.1978272657582,4.85275393753552,4.85275393753552,0,71,183,73,0.472,0,0,0
43_1_TSHE,418844.303524657,5276631.86158338,0,29.958420586648,17.9750523519888,4.79334729386368,4.79334729386368,0,32,144,158,0.439,0,0,0
43_4_TSHE,418855.21621516,5276626.02112999,0,23.8784461294826,14.3270676776896,3.82055138071722,3.82055138071722,0,32,144,158,0.321,0,0,0
43_13_TSHE,418853.5937,5276605.0567791,0,30.2380059115244,18.1428035469146,4.8380809458439,4.8380809458439,0,32,144,158,0.445,0,0,0
43_14_TSHE,418844.831267879,5276605.79019618,0,34.0296724244017,20.417803454641,5.44474758790427,5.44474758790427,0,32,144,158,0.532,0,0,0
43_17_TSHE,418837.86080676,5276607.28699412,0,25.7007998102391,15.4204798861435,4.11212796963826,4.11212796963826,0,32,144,158,0.354,0,0,0
43_18_TSHE,418837.984053339,5276602.07257761,0,28.8140946880945,17.2884568128567,4.61025515009512,4.61025515009512,0,32,144,158,0.415,0,0,0
43_23_TSHE,418833.736331645,5276624.95075,0,34.4368155849091,20.6620893509455,5.50989049358546,5.50989049358546,0,32,144,158,0.542,0,0,0
43_25_TSHE,418839.256847254,5276631.51135112,0,33.4085630395548,20.0451378237329,5.34537008632877,5.34537008632877,0,32,144,158,0.517,0,0,0
43_26_TSHE,418841.197599865,5276631.70217005,0,29.2481877175923,17.5489126305554,4.67971003481477,4.67971003481477,0,32,144,158,0.424,0,0,0
43_39_TSHE,418841.917352266,5276622.23259074,0,29.1522465724975,17.4913479434985,4.6643594515996,4.6643594515996,0,32,144,158,0.422,0,0,0
43_43_TSHE,418846.2937,5276617.70075,0,30.0985297483073,18.0591178489844,4.81576475972917,4.81576475972917,0,32,144,158,0.442,0,0,0
43_2_PSME,418848.450883065,5276633.04990507,0,23.4958991991674,14.0975395195004,3.75934387186678,3.75934387186678,0,233,37,127,0.318,0,0,1
43_3_TSHE,418851.540602696,5276629.4854864,0,28.7654849396515,17.2592909637909,4.60247759034424,4.60247759034424,0,233,37,127,0.414,0,0,1
43_5_TSHE,418856.736179902,5276618.79829886,0,30.0985297483073,18.0591178489844,4.81576475972917,4.81576475972917,0,233,37,127,0.442,0,0,1
43_6_TSHE,418863.300024411,5276619.48818672,0,32.9024043463081,19.7414426077849,5.2643846954093,5.2643846954093,0,233,37,127,0.505,0,0,1
43_7_TSHE,418856.736179902,5276618.79829886,0,21.3359168010101,12.8015500806061,3.41374668816162,3.41374668816162,0,233,37,127,0.278,0,0,1
43_8_TSHE,418855.182895066,5276616.29283981,0,19.824812641426,11.8948875848556,3.17197002262816,3.17197002262816,0,233,37,127,0.254,0,0,1
43_9_PSME,418856.359302559,5276612.34877418,0,21.8519078125956,13.1111446875574,3.4963052500153,3.4963052500153,0,233,37,127,0.286,0,0,1
43_10_PSME,418859.494076431,5276609.76916365,0,26.9317923752319,16.1590754251391,4.3090867800371,4.3090867800371,0,233,37,127,0.391,0,0,1
43_15_PSME,418843.00546164,5276608.15101239,0,25.3344929715059,15.2006957829035,4.05351887544094,4.05351887544094,0,233,37,127,0.356,0,0,1
43_16_TSHE,418839.533309496,5276604.98630466,0,26.8079308895223,16.0847585337134,4.28926894232357,4.28926894232357,0,233,37,127,0.375,0,0,1
43_21_PSME,418831.182068389,5276615.30730268,0,26.4841603412711,15.8904962047627,4.23746565460338,4.23746565460338,0,233,37,127,0.381,0,0,1
43_22_TSHE,418833.718302945,5276622.03080645,0,22.8972072096554,13.7383243257932,3.66355315354486,3.66355315354486,0,233,37,127,0.304,0,0,1
43_24_PSME,418838.374594577,5276625.90122372,0,31.9516714764524,19.1710028858714,5.11226743623238,5.11226743623238,0,233,37,127,0.514,0,0,1
43_27_PSME,418843.265333455,5276627.02110386,0,28.4475003097286,17.0685001858372,4.55160004955658,4.55160004955658,0,233,37,127,0.426,0,0,1
43_28_PSME,418846.681084414,5276628.79398818,0,26.5292290640883,15.917537438453,4.24467665025413,4.24467665025413,0,233,37,127,0.382,0,0,1
43_29_PSME,418849.538378441,5276627.68684342,0,31.228618721356,18.7371712328136,4.99657899541696,4.99657899541696,0,233,37,127,0.495,0,0,1
43_30_TSHE,418850.173082665,5276623.04026216,0,31.8202035860847,19.0921221516508,5.09123257377355,5.09123257377355,0,233,37,127,0.48,0,0,1
43_31_TSHE,418853.011214422,5276624.41826442,0,31.7761101877008,19.0656661126205,5.08417763003213,5.08417763003213,0,233,37,127,0.479,0,0,1
43_32_TSHE,418852.260831372,5276618.32792078,0,30.8352173623449,18.5011304174069,4.93363477797518,4.93363477797518,0,233,37,127,0.458,0,0,1
43_34_TSHE,418846.565474005,5276615.11499307,0,27.7769741524556,16.6661844914734,4.4443158643929,4.4443158643929,0,233,37,127,0.394,0,0,1
43_35_PSME,418843.694346911,5276610.55908608,0,22.2196219751188,13.3317731850713,3.55513951601901,3.55513951601901,0,233,37,127,0.293,0,0,1
43_36_PSME,418840.441020364,5276610.47329256,0,30.2104744758754,18.1262846855252,4.83367591614006,4.83367591614006,0,233,37,127,0.469,0,0,1
43_38_ABAM,418837.648527889,5276620.84733532,0,24.8398177580092,14.9038906548055,3.97437084128147,3.97437084128147,0,233,37,127,0.365,0,0,1
43_40_TSHE,418849.816116386,5276619.98823395,0,19.1740598059806,11.5044358835884,3.0678495689569,3.0678495689569,0,233,37,127,0.244,0,0,1
43_41_PSME,418843.021233967,5276613.659591,0,29.5257647848127,17.7154588708876,4.72412236557003,4.72412236557003,0,233,37,127,0.452,0,0,1
43_42_TSHE,418843.550764638,5276619.34887184,0,18.2410418147067,10.944625088824,2.91856669035307,2.91856669035307,0,233,37,127,0.23,0,0,1
