TreeID,X,Y,Elevation,Height_m,CBH_m,MinCrownDia_m,MaxCrownDia_m,rotation,R,G,B,DBH_m,LeanFromVertical,LeanAzimuth,StatusCode
20_14_PSME,401960.778748662,5277657.32012342,0,31.8386383673096,19.1031830203858,5.09418213876954,5.09418213876954,0,71,183,73,0.511,0,0,0
20_15_PSME,401964.770061296,5277659.75259525,0,26.7982109498853,16.0789265699312,4.28771375198165,4.28771375198165,0,71,183,73,0.388,0,0,0
20_18_PSME,401968.167175893,5277657.49479941,0,26.4841603412711,15.8904962047627,4.23746565460338,4.23746565460338,0,71,183,73,0.381,0,0,0
20_32_PSME,401969.418111449,5277642.63965828,0,27.5908381480409,16.5545028888245,4.41453410368654,4.41453410368654,0,71,183,73,0.406,0,0,0
20_43_PSME,401956.804709032,5277639.1608803,0,24.4296579248357,14.6577947549014,3.90874526797371,3.90874526797371,0,71,183,73,0.337,0,0,0
20_75_PSME,401964.636784387,5277654.21552484,0,32.7314201490148,19.6388520894089,5.23702722384237,5.23702722384237,0,71,183,73,0.535,0,0,0
20_81_PSME,401962.159096984,5277640.05799505,0,33.3484405457757,20.0090643274654,5.33575048732411,5.33575048732411,0,71,183,73,0.552,0,0,0
20_1_TSHE,401943.278352292,5277653.67483949,0,31.5991002145831,18.9594601287499,5.0558560343333,5.0558560343333,0,32,144,158,0.475,0,0,0
20_6_TSHE,401944.794479625,5277652.40950136,0,23.4780533223501,14.0868319934101,3.75648853157602,3.75648853157602,0,32,144,158,0.314,0,0,0
20_7_TSHE,401944.975789265,5277652.06331363,0,19.9534367964972,11.9720620778983,3.19254988743955,3.19254988743955,0,32,144,158,0.256,0,0,0
20_8_TSHE,401947.695081508,5277659.64452296,0,29.958420586648,17.9750523519888,4.79334729386368,4.79334729386368,0,32,144,158,0.439,0,0,0
20_9_TSHE,401950.197841694,5277657.28588873,0,28.9594686640466,17.375681198428,4.63351498624746,4.63351498624746,0,32,144,158,0.418,0,0,0
20_11_TSHE,401953.374880232,5277657.97405921,0,22.0659222607903,13.2395533564742,3.53054756172645,3.53054756172645,0,32,144,158,0.29,0,0,0
20_12_TSHE,401956.423442258,5277660.73880074,0,36.6210262076748,21.9726157246049,5.85936419322797,5.85936419322797,0,32,144,158,0.598,0,0,0
20_13_TSHE,401960.354652305,5277662.48916229,0,30.0518972939815,18.0311383763889,4.80830356703704,4.80830356703704,0,32,144,158,0.441,0,0,0
20_16_TSHE,401964.67746842,5277656.80794681,0,24.7751230283009,14.8650738169805,3.96401968452814,3.96401968452814,0,32,144,158,0.337,0,0,0
20_19_TSHE,401972.010789263,5277657.57954196,0,23.0725716268371,13.8435429761023,3.69161146029394,3.69161146029394,0,32,144,158,0.307,0,0,0
20_22_TSHE,401968.101092143,5277652.4939,0,24.7198175561495,14.8318905336897,3.95517080898392,3.95517080898392,0,32,144,158,0.336,0,0,0
20_23_TSHE,401968.567559693,5277649.15087628,0,25.322921221529,15.1937527329174,4.05166739544464,4.05166739544464,0,32,144,158,0.347,0,0,0
20_25_TSHE,401968.567559693,5277649.15087628,0,26.6521411588262,15.9912846952957,4.26434258541219,4.26434258541219,0,32,144,158,0.372,0,0,0
20_27_TSHE,401965.710106665,5277648.63089078,0,19.1740598059806,11.5044358835884,3.0678495689569,3.0678495689569,0,32,144,158,0.244,0,0,0
20_28_TSHE,401970.025491463,5277646.12110212,0,15.4979273787809,9.29875642726854,2.47966838060494,2.47966838060494,0,32,144,158,0.191,0,0,0
20_30_TSHE,401974.184142713,5277644.48929576,0,17.4893199316614,10.4935919589968,2.79829118906582,2.79829118906582,0,32,144,158,0.219,0,0,0
20_34_TSHE,401964.481073926,5277633.14928319,0,23.7074650042455,14.2244790025473,3.79319440067928,3.79319440067928,0,32,144,158,0.318,0,0,0
20_35_TSHE,401963.911523988,5277631.71325513,0,30.4229987146247,18.2537992287748,4.86767979433995,4.86767979433995,0,32,144,158,0.449,0,0,0
20_38_TSHE,401961.336104972,5277632.90784508,0,28.3245389140736,16.9947233484442,4.53192622625178,4.53192622625178,0,32,144,158,0.405,0,0,0
20_40_TSHE,401959.950142414,5277629.53867121,0,33.4503664332751,20.0702198599651,5.35205862932402,5.35205862932402,0,32,144,158,0.518,0,0,0
20_45_TSHE,401952.354582132,5277639.33659892,0,27.0144519181407,16.2086711508844,4.32231230690251,4.32231230690251,0,32,144,158,0.379,0,0,0
20_47_TSHE,401951.040187422,5277632.18343645,0,31.7761101877008,19.0656661126205,5.08417763003213,5.08417763003213,0,32,144,158,0.479,0,0,0
20_54_TSHE,401943.548932118,5277637.26718079,0,26.4432093588011,15.8659256152807,4.23091349740818,4.23091349740818,0,32,144,158,0.368,0,0,0
20_58_TSHE,401941.817653536,5277642.36985814,0,26.6000386151449,15.9600231690869,4.25600617842318,4.25600617842318,0,32,144,158,0.371,0,0,0
20_61_TSHE,401945.143779963,5277646.51701872,0,28.7167989419333,17.23007936516,4.59468783070933,4.59468783070933,0,32,144,158,0.413,0,0,0
20_62_TSHE,401941.451973189,5277647.32672159,0,23.7074650042455,14.2244790025473,3.79319440067928,3.79319440067928,0,32,144,158,0.318,0,0,0
20_69_TSHE,401951.932000079,5277650.1860483,0,34.3558218360115,20.6134931016069,5.49693149376184,5.49693149376184,0,32,144,158,0.54,0,0,0
20_72_TSHE,401956.443599941,5277655.48038193,0,29.0077756371451,17.4046653822871,4.64124410194322,4.64124410194322,0,32,144,158,0.419,0,0,0
20_73_TSHE,401960.057060934,5277653.89175111,0,29.581660055283,17.7489960331698,4.73306560884528,4.73306560884528,0,32,144,158,0.431,0,0,0
20_76_TSHE,401967.3418,5277646.7439,0,25.8079377240991,15.4847626344595,4.12927003585586,4.12927003585586,0,32,144,158,0.356,0,0,0
20_78_TSHE,401967.607873098,5277644.20747336,0,28.3738430470826,17.0243058282496,4.53981488753322,4.53981488753322,0,32,144,158,0.406,0,0,0
20_79_TSHE,401966.260425086,5277645.01823297,0,17.4893199316614,10.4935919589968,2.79829118906582,2.79829118906582,0,32,144,158,0.219,0,0,0
20_85_TSHE,401957.681874761,5277651.11979634,0,22.8972072096554,13.7383243257932,3.66355315354486,3.66355315354486,0,32,144,158,0.304,0,0,0
20_86_TSHE,401958.047557005,5277652.14307755,0,28.5702812086324,17.1421687251794,4.57124499338118,4.57124499338118,0,32,144,158,0.41,0,0,0
20_92_TSHE,401950.052653583,5277642.79855968,0,27.4741964118936,16.4845178471362,4.39587142590298,4.39587142590298,0,32,144,158,0.388,0,0,0
20_95_TSHE,401948.343292587,5277646.91493358,0,24.6089159369881,14.7653495621929,3.9374265499181,3.9374265499181,0,32,144,158,0.334,0,0,0
20_96_TSHE,401958.1418,5277646.7439,0,28.0768391097712,16.8461034658627,4.49229425756339,4.49229425756339,0,32,144,158,0.4,0,0,0
20_2_TSHE,401943.172890394,5277654.37094039,0,16.0786383739707,9.64718302438242,2.57258213983531,2.57258213983531,0,233,37,127,0.199,0,0,1
20_3_TSHE,401943.623112861,5277654.7917397,0,15.8619941350299,9.51719648101794,2.53791906160478,2.53791906160478,0,233,37,127,0.196,0,0,1
20_5_TSHE,401943.569955888,5277655.49954727,0,28.5212879647261,17.1127727788357,4.56340607435618,4.56340607435618,0,233,37,127,0.409,0,0,1
20_10_ABAM,401951.634013711,5277661.36062732,0,22.2902293902786,13.3741376341672,3.56643670244458,3.56643670244458,0,233,37,127,0.323,0,0,1
20_17_TSHE,401967.229206849,5277658.8032962,0,18.375935111385,11.025561066831,2.9401496178216,2.9401496178216,0,233,37,127,0.232,0,0,1
20_20_TSHE,401971.595998515,5277653.59915655,0,18.7108108807662,11.2264865284597,2.99372974092259,2.99372974092259,0,233,37,127,0.237,0,0,1
20_21_TSHE,401970.384514551,5277651.94062401,0,13.0768453365323,7.84610720191938,2.09229525384517,2.09229525384517,0,233,37,127,0.159,0,0,1
20_24_TSHE,401968.448885426,5277648.74739445,0,10.9087973110105,6.5452783866063,1.74540756976168,1.74540756976168,0,233,37,127,0.132,0,0,1
20_26_TSHE,401968.482281406,5277648.56720586,0,8.88950889749501,5.33370533849701,1.4223214235992,1.4223214235992,0,233,37,127,0.108,0,0,1
20_29_PSME,401973.63923508,5277652.69280796,0,28.235625197311,16.9413751183866,4.51770003156976,4.51770003156976,0,233,37,127,0.421,0,0,1
20_31_PSME,401974.391127925,5277643.87870507,0,15.4088394158791,9.24530364952746,2.46541430654066,2.46541430654066,0,233,37,127,0.177,0,0,1
20_33_TSHE,401966.488350582,5277635.25585868,0,26.232876512104,15.7397259072624,4.19726024193664,4.19726024193664,0,233,37,127,0.364,0,0,1
20_36_TSHE,401963.395088904,5277630.57593922,0,22.8385383442005,13.7031230065203,3.65416613507208,3.65416613507208,0,233,37,127,0.303,0,0,1
20_37_TSHE,401962.791500429,5277635.78989224,0,31.1520592623861,18.6912355574317,4.98432948198178,4.98432948198178,0,233,37,127,0.465,0,0,1
20_39_TSHE,401960.93753566,5277630.88849518,0,14.3073206883163,8.58439241298978,2.28917131013061,2.28917131013061,0,233,37,127,0.175,0,0,1
20_41_TSHE,401960.381861492,5277634.03987999,0,25.5932960831701,15.3559776499021,4.09492737330722,4.09492737330722,0,233,37,127,0.352,0,0,1
20_42_TSHE,401960.470410937,5277635.78864687,0,20.1454341572046,12.0872604943228,3.22326946515274,3.22326946515274,0,233,37,127,0.259,0,0,1
20_44_TSHE,401955.451980316,5277637.94589624,0,40.0658606447639,24.0395163868583,6.41053770316222,6.41053770316222,0,233,37,127,0.695,0,0,1
20_46_TSHE,401950.569163853,5277637.05136773,0,28.0768391097712,16.8461034658627,4.49229425756339,4.49229425756339,0,233,37,127,0.4,0,0,1
20_48_TSHE,401950.673747914,5277634.31497414,0,12.5257889101923,7.51547334611538,2.00412622563077,2.00412622563077,0,233,37,127,0.152,0,0,1
20_49_TSHE,401949.830370083,5277636.10575483,0,26.6000386151449,15.9600231690869,4.25600617842318,4.25600617842318,0,233,37,127,0.371,0,0,1
20_50_ABAM,401946.632753571,5277633.961809,0,21.1510935039122,12.6906561023473,3.38417496062595,3.38417496062595,0,233,37,127,0.305,0,0,1
20_51_TSHE,401946.727737797,5277637.16636461,0,13.4657040309685,8.0794224185811,2.15451264495496,2.15451264495496,0,233,37,127,0.164,0,0,1
20_52_TSHE,401946.42132002,5277636.90924957,0,25.7007998102391,15.4204798861435,4.11212796963826,4.11212796963826,0,233,37,127,0.354,0,0,1
20_53_PSME,401946.191506687,5277636.71641329,0,16.8971866686959,10.1383120012175,2.70354986699134,2.70354986699134,0,233,37,127,0.2,0,0,1
20_55_TSHE,401942.994689089,5277639.0260615,0,17.0721609478275,10.2432965686965,2.7315457516524,2.7315457516524,0,233,37,127,0.213,0,0,1
20_56_TSHE,401943.311698236,5277639.51077608,0,17.4201469668196,10.4520881800918,2.78722351469114,2.78722351469114,0,233,37,127,0.218,0,0,1
20_57_TSHE,401943.204513176,5277641.01001281,0,20.3363144722587,12.2017886833552,3.25381031556139,3.25381031556139,0,233,37,127,0.262,0,0,1
20_59_TSHE,401941.23809804,5277642.21456671,0,16.7912025303613,10.0747215182168,2.68659240485781,2.68659240485781,0,233,37,127,0.209,0,0,1
20_60_TSHE,401941.431283205,5277642.26633052,0,15.2039550372895,9.1223730223737,2.43263280596632,2.43263280596632,0,233,37,127,0.187,0,0,1
20_63_TSHE,401940.644465335,5277647.04931711,0,11.0732948880187,6.64397693281122,1.77172718208299,1.77172718208299,0,233,37,127,0.134,0,0,1
20_64_TSHE,401945.831703087,5277648.91450222,0,19.5660476460431,11.7396285876259,3.1305676233669,3.1305676233669,0,233,37,127,0.25,0,0,1
20_65_TSHE,401945.831703087,5277648.91450222,0,17.5583524305722,10.5350114583433,2.80933638889155,2.80933638889155,0,233,37,127,0.22,0,0,1
20_66_TSHE,401945.831703087,5277648.91450222,0,20.2091845134444,12.1255107080666,3.2334695221511,3.2334695221511,0,233,37,127,0.26,0,0,1
20_67_TSHE,401946.826773871,5277648.13321051,0,12.6840262407462,7.61041574444772,2.02944419851939,2.02944419851939,0,233,37,127,0.154,0,0,1
