TreeID,X,Y,Elevation,Height_m,CBH_m,MinCrownDia_m,MaxCrownDia_m,rotation,R,G,B,DBH_m,LeanFromVertical,LeanAzimuth,StatusCode
21_12_PSME,401621.728024653,5277745.65403265,0,26.3485409263952,15.8091245558371,4.21576654822323,4.21576654822323,0,71,183,73,0.378,0,0,0
21_30_PSME,401637.554211968,5277738.43518442,0,22.115039674512,13.2690238047072,3.53840634792192,3.53840634792192,0,71,183,73,0.291,0,0,0
21_51_PSME,401641.866201626,5277724.9936732,0,26.3485409263952,15.8091245558371,4.21576654822323,4.21576654822323,0,71,183,73,0.378,0,0,0
21_53_PSME,401645.737395505,5277727.00401905,0,20.6093720618196,12.3656232370918,3.29749952989114,3.29749952989114,0,71,183,73,0.263,0,0,0
21_56_PSME,401637.300182067,5277725.592182,0,23.0935840752432,13.8561504451459,3.69497345203891,3.69497345203891,0,71,183,73,0.31,0,0,0
21_57_PSME,401638.162340876,5277722.26858028,0,31.3439313989443,18.8063588393666,5.01502902383109,5.01502902383109,0,71,183,73,0.498,0,0,0
21_58_PSME,401636.671905664,5277720.98619098,0,29.7692035719828,17.8615221431897,4.76307257151725,4.76307257151725,0,71,183,73,0.458,0,0,0
21_61_PSME,401634.089248681,5277725.42256369,0,25.2875596980884,15.172535818853,4.04600955169414,4.04600955169414,0,71,183,73,0.355,0,0,0
21_64_PSME,401633.972050077,5277719.74100807,0,25.4748448171611,15.2849068902967,4.07597517074578,4.07597517074578,0,71,183,73,0.359,0,0,0
21_66_PSME,401629.365021438,5277720.44735879,0,16.644017734422,9.9864106406532,2.66304283750752,2.66304283750752,0,71,183,73,0.196,0,0,0
21_73_PSME,401627.848078782,5277725.68711272,0,17.9481955180569,10.7689173108341,2.8717112828891,2.8717112828891,0,71,183,73,0.217,0,0,0
21_75_PSME,401625.261212597,5277721.89249877,0,30.91896431518,18.551378589108,4.9470342904288,4.9470342904288,0,71,183,73,0.487,0,0,0
21_76_PSME,401625.379730757,5277719.6707936,0,25.2875596980884,15.172535818853,4.04600955169414,4.04600955169414,0,71,183,73,0.355,0,0,0
21_79_PSME,401619.512252179,5277722.43150218,0,28.4052450552979,17.0431470331787,4.54483920884766,4.54483920884766,0,71,183,73,0.425,0,0,0
21_89_PSME,401622.446362782,5277729.06880861,0,23.6453409634645,14.1872045780787,3.78325455415432,3.78325455415432,0,71,183,73,0.321,0,0,0
21_92_PSME,401623.257408772,5277731.52452862,0,21.2643819751917,12.758629185115,3.40230111603067,3.40230111603067,0,71,183,73,0.275,0,0,0
21_96_PSME,401626.161211145,5277739.34766552,0,27.979378378923,16.7876270273538,4.47670054062768,4.47670054062768,0,71,183,73,0.415,0,0,0
21_100_PSME,401628.591699385,5277740.75115519,0,24.7662785197187,14.8597671118312,3.96260456315499,3.96260456315499,0,71,183,73,0.344,0,0,0
21_101_PSME,401628.60650018,5277739.9149226,0,21.0477109335904,12.6286265601542,3.36763374937446,3.36763374937446,0,71,183,73,0.271,0,0,0
21_104_PSME,401631.841609121,5277736.36333318,0,21.5863426156462,12.9518055693877,3.45381481850339,3.45381481850339,0,71,183,73,0.281,0,0,0
21_107_PSME,401635.639903426,5277739.09945723,0,21.7459764946947,13.0475858968168,3.47935623915115,3.47935623915115,0,71,183,73,0.284,0,0,0
21_109_PSME,401632.81559439,5277729.45016798,0,25.5680419910838,15.3408251946503,4.09088671857341,4.09088671857341,0,71,183,73,0.361,0,0,0
21_112_PSME,401625.276901291,5277723.79129731,0,19.3678780446589,11.6207268267953,3.09886048714542,3.09886048714542,0,71,183,73,0.241,0,0,0
21_124_PSME,401628.116798393,5277729.9064006,0,22.9921264499216,13.795275869953,3.67874023198746,3.67874023198746,0,71,183,73,0.308,0,0,0
21_125_PSME,401625.273977254,5277731.23408014,0,24.3812512823859,14.6287507694315,3.90100020518174,3.90100020518174,0,71,183,73,0.336,0,0,0
21_126_PSME,401627.759361396,5277733.83150787,0,26.0296551957178,15.6177931174307,4.16474483131485,4.16474483131485,0,71,183,73,0.371,0,0,0
21_1_TSHE,401615.955813586,5277727.08536638,0,30.0985297483073,18.0591178489844,4.81576475972917,4.81576475972917,0,32,144,158,0.442,0,0,0
21_2_TSHE,401615.789591709,5277730.49345113,0,26.6000386151449,15.9600231690869,4.25600617842318,4.25600617842318,0,32,144,158,0.371,0,0,0
21_3_TSHE,401616.847492181,5277739.2935989,0,27.7267148889258,16.6360289333555,4.43627438222813,4.43627438222813,0,32,144,158,0.393,0,0,0
21_14_TSHE,401621.528567093,5277747.35361995,0,24.8854448311085,14.9312668986651,3.98167117297736,3.98167117297736,0,32,144,158,0.339,0,0,0
21_15_TSHE,401631.226393205,5277747.16627616,0,35.5875716689279,21.3525430013567,5.69401146702846,5.69401146702846,0,32,144,158,0.571,0,0,0
21_18_TSHE,401635.303266371,5277749.53531798,0,17.0721609478275,10.2432965686965,2.7315457516524,2.7315457516524,0,32,144,158,0.213,0,0,0
21_23_TSHE,401637.174317989,5277741.60138881,0,28.9594686640466,17.375681198428,4.63351498624746,4.63351498624746,0,32,144,158,0.418,0,0,0
21_27_TSHE,401645.554686414,5277740.26363362,0,27.2707002269981,16.3624201361989,4.3633120363197,4.3633120363197,0,32,144,158,0.384,0,0,0
21_29_TSHE,401641.944015645,5277737.09524895,0,16.8616578678192,10.1169947206915,2.69786525885107,2.69786525885107,0,32,144,158,0.21,0,0,0
21_37_TSHE,401647.54595179,5277731.01511409,0,26.6521411588262,15.9912846952957,4.26434258541219,4.26434258541219,0,32,144,158,0.372,0,0,0
21_39_TSHE,401643.792736096,5277731.60956506,0,27.3216987201186,16.3930192320712,4.37147179521898,4.37147179521898,0,32,144,158,0.385,0,0,0
21_42_TSHE,401640.073413668,5277729.52578624,0,20.3996948691066,12.239816921464,3.26395117905706,3.26395117905706,0,32,144,158,0.263,0,0,0
21_59_TSHE,401635.446312705,5277723.61448356,0,28.2256955202,16.93541731212,4.516111283232,4.516111283232,0,32,144,158,0.403,0,0,0
21_60_TSHE,401635.340554047,5277724.67533411,0,20.5260884763246,12.3156530857948,3.28417415621194,3.28417415621194,0,32,144,158,0.265,0,0,0
21_70_TSHE,401629.192416401,5277724.81123022,0,18.375935111385,11.025561066831,2.9401496178216,2.9401496178216,0,32,144,158,0.232,0,0,0
21_74_TSHE,401625.670556403,5277723.69522693,0,24.2176755965597,14.5306053579358,3.87482809544955,3.87482809544955,0,32,144,158,0.327,0,0,0
21_85_TSHE,401621.239018236,5277729.23700825,0,12.8416294815272,7.70497768891632,2.05466071704435,2.05466071704435,0,32,144,158,0.156,0,0,0
21_94_TSHE,401624.713774246,5277741.13510123,0,29.7234838983924,17.8340903390354,4.75575742374278,4.75575742374278,0,32,144,158,0.434,0,0,0
21_110_TSHE,401632.515900989,5277729.31673588,0,22.4842530928595,13.4905518557157,3.59748049485752,3.59748049485752,0,32,144,158,0.297,0,0,0
21_111_TSHE,401628.320307143,5277727.64780494,0,22.4842530928595,13.4905518557157,3.59748049485752,3.59748049485752,0,32,144,158,0.297,0,0,0
21_113_TSHE,401625.107401675,5277725.30122052,0,15.277676055475,9.166605633285,2.444428168876,2.444428168876,0,32,144,158,0.188,0,0,0
21_118_TSHE,401620.499851408,5277724.44049763,0,18.443178865627,11.0659073193762,2.95090861850032,2.95090861850032,0,32,144,158,0.233,0,0,0
21_128_TSHE,401630.75525,5277733.6745,0,25.9679636711049,15.5807782026629,4.15487418737678,4.15487418737678,0,32,144,158,0.359,0,0,0
21_4_THPL,401619.012047015,5277739.91847178,0,17.5746066030916,10.544763961855,2.81193705649466,2.81193705649466,0,233,37,127,0.279,0,0,1
21_5_ABAM,401620.016534993,5277739.8745,0,6.77611531501024,4.06566918900614,1.08417845040164,1.08417845040164,0,233,37,127,0.107,0,0,1
21_6_ABAM,401619.41031721,5277740.2245,0,7.47345739677514,4.48407443806508,1.19575318348402,1.19575318348402,0,233,37,127,0.116,0,0,1
21_7_ABAM,401617.988071383,5277742.28607071,0,27.8556924678038,16.7134154806823,4.45691079484861,4.45691079484861,0,233,37,127,0.418,0,0,1
21_8_ABAM,401617.988071383,5277742.28607071,0,4.27809759539948,2.56685855723969,0.684495615263917,0.684495615263917,0,233,37,127,0.072,0,0,1
21_9_ABAM,401618.817108955,5277741.72687781,0,15.0796913138438,9.04781478830628,2.41275061021501,2.41275061021501,0,233,37,127,0.216,0,0,1
21_10_ABAM,401620.195905902,5277741.92436377,0,4.96059698393458,2.97635819036075,0.793695517429533,0.793695517429533,0,233,37,127,0.083,0,0,1
21_11_TSHE,401621.099498651,5277743.67332322,0,23.0725716268371,13.8435429761023,3.69161146029394,3.69161146029394,0,233,37,127,0.307,0,0,1
21_13_THPL,401619.045464389,5277746.67953445,0,26.7985634016756,16.0791380410054,4.2877701442681,4.2877701442681,0,233,37,127,0.511,0,0,1
21_16_ABAM,401632.757611152,5277746.31691076,0,18.5143642249786,11.1086185349872,2.96229827599658,2.96229827599658,0,233,37,127,0.265,0,0,1
21_17_ABAM,401632.995311492,5277746.37852001,0,14.277776912342,8.5666661474052,2.28444430597472,2.28444430597472,0,233,37,127,0.205,0,0,1
21_19_TSHE,401634.200716948,5277745.6902712,0,15.277676055475,9.166605633285,2.444428168876,2.444428168876,0,233,37,127,0.188,0,0,1
21_20_TSHE,401636.673260482,5277745.80821962,0,9.74063923802199,5.84438354281319,1.55850227808352,1.55850227808352,0,233,37,127,0.118,0,0,1
21_21_TSHE,401636.952274629,5277745.32940823,0,27.977204545146,16.7863227270876,4.47635272722336,4.47635272722336,0,233,37,127,0.398,0,0,1
21_22_TSHE,401637.154736987,5277745.21948013,0,8.11315737994203,4.86789442796522,1.29810518079072,1.29810518079072,0,233,37,127,0.099,0,0,1
21_24_TSHE,401644.012599467,5277743.66462938,0,12.9985985580918,7.79915913485508,2.07977576929469,2.07977576929469,0,233,37,127,0.158,0,0,1
21_25_TSHE,401646.468231871,5277740.67037026,0,11.8865108923531,7.13190653541186,1.9018417427765,1.9018417427765,0,233,37,127,0.144,0,0,1
21_26_TSHE,401646.559586417,5277740.71104393,0,14.9075427972109,8.94452567832654,2.38520684755374,2.38520684755374,0,233,37,127,0.183,0,0,1
21_28_ABAM,401643.877643076,5277740.07471874,0,7.55120094848728,4.53072056909237,1.20819215175796,1.20819215175796,0,233,37,127,0.117,0,0,1
21_31_THPL,401636.425562121,5277737.94738666,0,13.0685506412767,7.84113038476602,2.09096810260427,2.09096810260427,0,233,37,127,0.192,0,0,1
21_32_TSHE,401636.841137835,5277737.33127033,0,4.16799330973901,2.50079598584341,0.666878929558242,0.666878929558242,0,233,37,127,0.048,0,0,1
21_33_ABAM,401633.956689672,5277737.77215592,0,9.80923259582448,5.88553955749469,1.56947721533192,1.56947721533192,0,233,37,127,0.146,0,0,1
21_34_TSHE,401633.519236722,5277736.96849111,0,16.5789680521328,9.94738083127968,2.65263488834125,2.65263488834125,0,233,37,127,0.206,0,0,1
21_35_TSHE,401631.847988936,5277734.97677555,0,16.4367507673592,9.86205046041552,2.62988012277747,2.62988012277747,0,233,37,127,0.204,0,0,1
21_36_TSHE,401632.454991082,5277733.64483091,0,9.65612345679769,5.79367407407861,1.54497975308763,1.54497975308763,0,233,37,127,0.117,0,0,1
21_38_THPL,401647.05210762,5277731.09333133,0,7.88322266601522,4.72993359960913,1.26131562656244,1.26131562656244,0,233,37,127,0.108,0,0,1
21_40_ABAM,401643.795248655,5277730.18044289,0,3.19573678291988,1.91744206975193,0.511317885267181,0.511317885267181,0,233,37,127,0.048,0,0,1
21_41_THPL,401641.985409212,5277728.90758023,0,9.58770617100867,5.7526237026052,1.53403298736139,1.53403298736139,0,233,37,127,0.134,0,0,1
21_43_ABAM,401640.210435756,5277730.41881846,0,8.64196349157026,5.18517809494216,1.38271415865124,1.38271415865124,0,233,37,127,0.131,0,0,1
21_44_TSHE,401639.068513664,5277729.97319655,0,25.7007998102391,15.4204798861435,4.11212796963826,4.11212796963826,0,233,37,127,0.354,0,0,1
21_45_ABAM,401635.874725911,5277728.90051148,0,10.8910530833675,6.5346318500205,1.7425684933388,1.7425684933388,0,233,37,127,0.16,0,0,1
21_46_ABAM,401635.932958764,5277729.91267439,0,13.8357783689757,8.30146702138542,2.21372453903611,2.21372453903611,0,233,37,127,0.199,0,0,1
21_47_TSHE,401635.806904523,5277727.86323623,0,3.89128913997021,2.33477348398213,0.622606262395234,0.622606262395234,0,233,37,127,0.044,0,0,1
21_48_TSHE,401636.17358529,5277728.06364956,0,11.7251152707991,7.03506916247946,1.87601844332786,1.87601844332786,0,233,37,127,0.142,0,0,1
21_49_ABAM,401639.874663298,5277727.52337806,0,8.01831976726612,4.81099186035967,1.28293116276258,1.28293116276258,0,233,37,127,0.123,0,0,1
21_50_THPL,401640.338193487,5277727.68641231,0,13.5715343886102,8.14292063316612,2.17144550217763,2.17144550217763,0,233,37,127,0.201,0,0,1
21_52_ABAM,401642.797532965,5277726.14964645,0,14.4243964334379,8.65463786006274,2.30790342935006,2.30790342935006,0,233,37,127,0.207,0,0,1
21_54_THPL,401645.011551226,5277725.77210319,0,12.8419740146576,7.70518440879456,2.05471584234522,2.05471584234522,0,233,37,127,0.188,0,0,1
21_55_THPL,401645.278656344,5277726.27445485,0,5.10575068304513,3.06345040982708,0.816920109287221,0.816920109287221,0,233,37,127,0.067,0,0,1
21_62_ABAM,401634.434170145,5277722.9901401,0,6.46808781475058,3.88085268885035,1.03489405036009,1.03489405036009,0,233,37,127,0.103,0,0,1
21_63_TSHE,401633.861078541,5277722.08339008,0,11.8058915631512,7.08353493789072,1.88894265010419,1.88894265010419,0,233,37,127,0.143,0,0,1
21_65_PSME,401632.619850954,5277718.48854388,0,23.4958991991674,14.0975395195004,3.75934387186678,3.75934387186678,0,233,37,127,0.318,0,0,1
21_67_TSHE,401629.918172315,5277721.7037314,0,9.99335073614466,5.9960104416868,1.59893611778315,1.59893611778315,0,233,37,127,0.121,0,0,1
21_68_THPL,401630.242357629,5277723.88793056,0,8.68120172387304,5.20872103432382,1.38899227581969,1.38899227581969,0,233,37,127,0.12,0,0,1
