TreeID,X,Y,Elevation,Height_m,CBH_m,MinCrownDia_m,MaxCrownDia_m,rotation,R,G,B,DBH_m,LeanFromVertical,LeanAzimuth,StatusCode
13_5_PSME,418626.932255222,5276646.11272366,0,30.7629459191477,18.4577675514886,4.92207134706363,4.92207134706363,0,71,183,73,0.483,0,0,0
13_8_TSHE,418607.987440847,5276645.37821017,0,30.1915838582782,18.1149503149669,4.83065341732451,4.83065341732451,0,32,144,158,0.444,0,0,0
13_9_TSHE,418608.157005489,5276654.08865579,0,29.770614326391,17.8623685958346,4.76329829222256,4.76329829222256,0,32,144,158,0.435,0,0,0
13_10_TSHE,418609.76098696,5276659.7480815,0,35.5875716689279,21.3525430013567,5.69401146702846,5.69401146702846,0,32,144,158,0.571,0,0,0
13_19_TSHE,418612.248284941,5276652.36759236,0,34.7586488856039,20.8551893313623,5.56138382169662,5.56138382169662,0,32,144,158,0.55,0,0,0
13_1_TSHE,418622.059090762,5276669.70040045,0,32.6032252576477,19.5619351545886,5.21651604122363,5.21651604122363,0,233,37,127,0.498,0,0,1
13_2_TSHE,418631.15176023,5276663.80394179,0,30.0985297483073,18.0591178489844,4.81576475972917,4.81576475972917,0,233,37,127,0.442,0,0,1
13_3_TSHE,418630.520279595,5276660.0286841,0,24.55331917296,14.731991503776,3.9285310676736,3.9285310676736,0,233,37,127,0.333,0,0,1
13_4_PSME,418625.654043631,5276651.29759337,0,35.2641067026718,21.1584640216031,5.64225707242749,5.64225707242749,0,233,37,127,0.607,0,0,1
13_6_TSHE,418622.293742459,5276637.79806704,0,32.1706865494196,19.3024119296518,5.14730984790714,5.14730984790714,0,233,37,127,0.488,0,0,1
13_7_TSHE,418615.242074221,5276643.00696075,0,32.3444360854414,19.4066616512648,5.17510977367062,5.17510977367062,0,233,37,127,0.492,0,0,1
13_11_TSHE,418605.179503389,5276660.04470322,0,13.7739469098384,8.26436814590304,2.20383150557414,2.20383150557414,0,233,37,127,0.168,0,0,1
13_12_TSHE,418605.278650254,5276660.2964022,0,23.6502666924793,14.1901600154876,3.78404267079669,3.78404267079669,0,233,37,127,0.317,0,0,1
13_13_TSHE,418609.855316977,5276664.63269118,0,18.8438268597203,11.3062961158322,3.01501229755525,3.01501229755525,0,233,37,127,0.239,0,0,1
13_14_TSHE,418612.548250126,5276665.01877717,0,34.3558218360115,20.6134931016069,5.49693149376184,5.49693149376184,0,233,37,127,0.54,0,0,1
13_15_TSHE,418621.666743401,5276663.97803173,0,32.8172229620964,19.6903337772578,5.25075567393542,5.25075567393542,0,233,37,127,0.503,0,0,1
13_16_TSHE,418625.583976669,5276656.8874822,0,35.4314194484096,21.2588516690458,5.66902711174554,5.66902711174554,0,233,37,127,0.567,0,0,1
13_17_TSHE,418624.532504253,5276645.30734503,0,31.6877328235955,19.0126396941573,5.07003725177528,5.07003725177528,0,233,37,127,0.477,0,0,1
13_18_PSME,418617.059008855,5276645.45414006,0,29.0742876314464,17.4445725788678,4.65188602103142,4.65188602103142,0,233,37,127,0.441,0,0,1
13_20_TSHE,418614.222492185,5276657.88148329,0,27.6259526652756,16.5755715991654,4.4201524264441,4.4201524264441,0,233,37,127,0.391,0,0,1
13_21_TSHE,418619.21839612,5276654.90679502,0,6.89110774482855,4.13466464689713,1.10257723917257,1.10257723917257,0,233,37,127,0.085,0,0,1
13_22_TSHE,418619.65,5276654.49,0,35.2350904831236,21.1410542898742,5.63761447729978,5.63761447729978,0,233,37,127,0.562,0,0,1
