TreeID,X,Y,Elevation,Height_m,CBH_m,MinCrownDia_m,MaxCrownDia_m,rotation,R,G,B,DBH_m,LeanFromVertical,LeanAzimuth,StatusCode
07_1_PSME,412802.148270576,5280085.13073703,0,27.5038040976615,16.5022824585969,4.40060865562584,4.40060865562584,0,71,183,73,0.404,0,0,0
07_4_PSME,412795.457742836,5280094.85529788,0,36.293902642948,21.7763415857688,5.80702442287168,5.80702442287168,0,71,183,73,0.638,0,0,0
07_8_PSME,412792.983208782,5280105.67,0,33.0958718818541,19.8575231291125,5.29533950109666,5.29533950109666,0,71,183,73,0.545,0,0,0
07_12_PSME,412811.39950467,5280109.9365631,0,25.7072867824231,15.4243720694539,4.1131658851877,4.1131658851877,0,71,183,73,0.364,0,0,0
07_13_PSME,412813.813184906,5280109.07910347,0,20.3319452030936,12.1991671218562,3.25311123249498,3.25311123249498,0,71,183,73,0.258,0,0,0
07_30_PSME,412799.673196257,5280104.61680374,0,37.8554280031298,22.7132568018779,6.05686848050077,6.05686848050077,0,71,183,73,0.687,0,0,0
07_31_PSME,412809.836580156,5280106.25454368,0,26.5742292938011,15.9445375762807,4.25187668700818,4.25187668700818,0,71,183,73,0.383,0,0,0
07_11_TSHE,412806.902821595,5280114.65982681,0,17.5583524305722,10.5350114583433,2.80933638889155,2.80933638889155,0,32,144,158,0.22,0,0,0
07_15_TSHE,412814.839293198,5280093.99738834,0,29.4867482847575,17.6920489708545,4.7178797255612,4.7178797255612,0,32,144,158,0.429,0,0,0
07_21_TSHE,412816.356959095,5280086.82282762,0,15.0560551810587,9.03363310863522,2.40896882896939,2.40896882896939,0,32,144,158,0.185,0,0,0
07_29_TSHE,412807.170876071,5280093.14444201,0,35.7041596279609,21.4224957767765,5.71266554047374,5.71266554047374,0,32,144,158,0.574,0,0,0
07_2_TSHE,412793.462490489,5280090.24442888,0,26.6521411588262,15.9912846952957,4.26434258541219,4.26434258541219,0,233,37,127,0.372,0,0,1
07_3_PSME,412798.434060834,5280093.23164971,0,34.6501233605356,20.7900740163214,5.5440197376857,5.5440197376857,0,233,37,127,0.589,0,0,1
07_5_TSHE,412801.545586683,5280096.86773983,0,17.2813780128349,10.3688268077009,2.76502048205358,2.76502048205358,0,233,37,127,0.216,0,0,1
07_6_TSHE,412796.971494184,5280098.95256755,0,12.6840262407462,7.61041574444772,2.02944419851939,2.02944419851939,0,233,37,127,0.154,0,0,1
07_7_TSHE,412796.772589804,5280098.97347325,0,6.18896134504607,3.71337680702764,0.990233815207371,0.990233815207371,0,233,37,127,0.077,0,0,1
07_9_ACCI,412802.715363756,5280112.42740632,0,7.9190504466583,4.75143026799498,1.26704807146533,1.26704807146533,0,233,37,127,0.093,0,0,1
07_10_TSHE,412804.260408096,5280114.74402996,0,19.9534367964972,11.9720620778983,3.19254988743955,3.19254988743955,0,233,37,127,0.256,0,0,1
07_14_TSHE,412818.973628324,5280101.36052949,0,7.06642722369698,4.23985633421819,1.13062835579152,1.13062835579152,0,233,37,127,0.087,0,0,1
07_16_TSHE,412813.825762737,5280091.21178088,0,3.476232885317,2.0857397311902,0.55619726165072,0.55619726165072,0,233,37,127,0.038,0,0,1
07_17_TSHE,412815.067553436,5280087.16767114,0,8.71776994507446,5.23066196704468,1.39484319121191,1.39484319121191,0,233,37,127,0.106,0,0,1
07_18_TSHE,412815.067553436,5280087.16767114,0,10.4949043020902,6.29694258125412,1.67918468833443,1.67918468833443,0,233,37,127,0.127,0,0,1
07_19_TSHE,412815.82165461,5280087.41734348,0,9.9092541859726,5.94555251158356,1.58548066975562,1.58548066975562,0,233,37,127,0.12,0,0,1
07_20_TSHE,412815.82165461,5280087.41734348,0,4.92892977660322,2.95735786596193,0.788628764256515,0.788628764256515,0,233,37,127,0.059,0,0,1
07_22_PSME,412813.301258532,5280085.37547622,0,8.8316835067156,5.29901010402936,1.4130693610745,1.4130693610745,0,233,37,127,0.089,0,0,1
07_23_PSME,412810.845397347,5280084.8272918,0,7.71384130155869,4.62830478093521,1.23421460824939,1.23421460824939,0,233,37,127,0.076,0,0,1
07_24_TSHE,412806.32,5280087.47,0,13.5430013791661,8.12580082749966,2.16688022066658,2.16688022066658,0,233,37,127,0.165,0,0,1
07_25_TSHE,412805.282846661,5280086.11528309,0,13.0768453365323,7.84610720191938,2.09229525384517,2.09229525384517,0,233,37,127,0.159,0,0,1
07_26_TSHE,412805.282846661,5280086.11528309,0,12.3669178570059,7.42015071420354,1.97870685712094,1.97870685712094,0,233,37,127,0.15,0,0,1
07_27_TSHE,412804.856601514,5280084.04669346,0,6.10492249812063,3.66295349887238,0.976787599699301,0.976787599699301,0,233,37,127,0.076,0,0,1
07_28_TSHE,412804.835695822,5280083.84778909,0,11.7251152707991,7.03506916247946,1.87601844332786,1.87601844332786,0,233,37,127,0.142,0,0,1
07_32_PSME,412806.32,5280097.97,0,32.2882842575839,19.3729705545503,5.16612548121342,5.16612548121342,0,233,37,127,0.523,0,0,1
