TreeID,X,Y,Elevation,Height_m,CBH_m,MinCrownDia_m,MaxCrownDia_m,rotation,R,G,B,DBH_m,LeanFromVertical,LeanAzimuth,StatusCode
14_3_PSME,418496.224901161,5276625.75308646,0,29.4033044029409,17.6419826417645,4.70452870447054,4.70452870447054,0,71,183,73,0.449,0,0,0
14_4_PSME,418498.994668716,5276621.10239615,0,30.91896431518,18.551378589108,4.9470342904288,4.9470342904288,0,71,183,73,0.487,0,0,0
14_10_PSME,418494.080525648,5276603.55343113,0,22.9921264499216,13.795275869953,3.67874023198746,3.67874023198746,0,71,183,73,0.308,0,0,0
14_11_PSME,418488.295814236,5276602.14679512,0,26.61916125741,15.971496754446,4.2590658011856,4.2590658011856,0,71,183,73,0.384,0,0,0
14_12_PSME,418486.184972022,5276600.2165006,0,22.1673783313627,13.3004269988176,3.54678053301803,3.54678053301803,0,71,183,73,0.292,0,0,0
14_13_PSME,418479.697466179,5276600.02017516,0,27.2411651820171,16.3446991092103,4.35858642912274,4.35858642912274,0,71,183,73,0.398,0,0,0
14_16_PSME,418467.920716243,5276613.05621062,0,31.4970056209855,18.8982033725913,5.03952089935768,5.03952089935768,0,71,183,73,0.502,0,0,0
14_19_PSME,418481.183316124,5276599.89912778,0,31.1515001832883,18.690900109973,4.98424002932613,4.98424002932613,0,71,183,73,0.493,0,0,0
14_20_PSME,418469.093790858,5276623.2720594,0,23.9910802586597,14.3946481551958,3.83857284138555,3.83857284138555,0,71,183,73,0.328,0,0,0
14_21_PSME,418471.11135959,5276627.10612676,0,25.4281352710891,15.2568811626535,4.06850164337426,4.06850164337426,0,71,183,73,0.358,0,0,0
14_25_PSME,418478.232339986,5276631.3571647,0,21.1562517630015,12.6937510578009,3.38500028208024,3.38500028208024,0,71,183,73,0.273,0,0,0
14_26_PSME,418482.044420766,5276634.28201686,0,25.4748448171611,15.2849068902967,4.07597517074578,4.07597517074578,0,71,183,73,0.359,0,0,0
14_28_PSME,418487.919592078,5276630.431543,0,22.0626056246087,13.2375633747652,3.53001689993739,3.53001689993739,0,71,183,73,0.29,0,0,0
