TreeID,X,Y,Elevation,Height_m,CBH_m,MinCrownDia_m,MaxCrownDia_m,rotation,R,G,B,DBH_m,LeanFromVertical,LeanAzimuth,StatusCode
18_2_PSME,411255.3985759,5276843.30923468,0,32.2510652449826,19.3506391469896,5.16017043919722,5.16017043919722,0,71,183,73,0.522,0,0,0
18_5_PSME,411258.333068928,5276835.72639346,0,26.976186242801,16.1857117456806,4.31618979884816,4.31618979884816,0,71,183,73,0.392,0,0,0
18_13_PSME,411230.775049594,5276827.19376714,0,29.3213867378503,17.5928320427102,4.69142187805605,4.69142187805605,0,71,183,73,0.447,0,0,0
18_29_PSME,411250.811718594,5276837.32676917,0,30.329712109597,18.1978272657582,4.85275393753552,4.85275393753552,0,71,183,73,0.472,0,0,0
18_36_PSME,411233.800825639,5276831.1219,0,24.7184263537117,14.831055812227,3.95494821659387,3.95494821659387,0,71,183,73,0.343,0,0,0
18_39_PSME,411236.859017712,5276841.61939517,0,34.2339362947996,20.5403617768798,5.47742980716794,5.47742980716794,0,71,183,73,0.577,0,0,0
18_40_PSME,411237.418135636,5276844.71342044,0,31.7630498533235,19.0578299119941,5.08208797653176,5.08208797653176,0,71,183,73,0.509,0,0,0
18_1_TSHE,411250.982478738,5276849.55084297,0,35.8974803171996,21.5384881903198,5.74359685075194,5.74359685075194,0,32,144,158,0.579,0,0,0
18_4_TSHE,411260.012732449,5276837.70078441,0,29.8646601383372,17.9187960830023,4.77834562213395,4.77834562213395,0,32,144,158,0.437,0,0,0
18_7_TSHE,411257.264966527,5276829.639473,0,30.7440887422318,18.4464532453391,4.91905419875709,4.91905419875709,0,32,144,158,0.456,0,0,0
18_10_TSHE,411247.260896601,5276822.19910073,0,27.2707002269981,16.3624201361989,4.3633120363197,4.3633120363197,0,32,144,158,0.384,0,0,0
18_11_TSHE,411240.804497894,5276825.46883211,0,32.0397246049376,19.2238347629626,5.12635593679002,5.12635593679002,0,32,144,158,0.485,0,0,0
18_12_TSHE,411235.754763971,5276825.95483863,0,31.0618654880704,18.6371192928422,4.96989847809126,4.96989847809126,0,32,144,158,0.463,0,0,0
18_14_TSHE,411228.095889741,5276828.84946055,0,30.5150806065476,18.3090483639286,4.88241289704762,4.88241289704762,0,32,144,158,0.451,0,0,0
18_15_TSHE,411227.639358432,5276834.89125597,0,29.0560074673429,17.4336044804057,4.64896119477486,4.64896119477486,0,32,144,158,0.42,0,0,0
18_17_TSHE,411232.214159151,5276835.3720869,0,34.9580762638166,20.97484575829,5.59329220221066,5.59329220221066,0,32,144,158,0.555,0,0,0
18_24_TSHE,411243.347621711,5276847.62020942,0,24.1613882314493,14.4968329388696,3.86582211703189,3.86582211703189,0,32,144,158,0.326,0,0,0
18_25_TSHE,411247.060717853,5276847.86812291,0,30.4690740411535,18.2814444246921,4.87505184658456,4.87505184658456,0,32,144,158,0.45,0,0,0
18_26_TSHE,411248.545826446,5276844.82473862,0,30.4690740411535,18.2814444246921,4.87505184658456,4.87505184658456,0,32,144,158,0.45,0,0,0
